地名,センター,燃やすごみ,燃やさないごみ,資源,大型ごみ
本町,宮津与謝クリーンセンター,月 木,金,金,水:1
魚屋,宮津与謝クリーンセンター,月 木,金,金,水:1
新浜,宮津与謝クリーンセンター,月 木,水,水,水:1
万町,宮津与謝クリーンセンター,月 木,木,木,水:1
島崎,宮津与謝クリーンセンター,月 木,金,金,水:1
金屋谷,宮津与謝クリーンセンター,月 木,木,木,水:2
亀ヶ丘,宮津与謝クリーンセンター,月 木,水,水,水:2
松ヶ岡,宮津与謝クリーンセンター,月 木,水,水,水:2
池ノ谷,宮津与謝クリーンセンター,月 木,水,水,水:2
白柏,宮津与謝クリーンセンター,月 木,水,水,水:2
浪花,宮津与謝クリーンセンター,月 木,水,水,水:2
漁師町,宮津与謝クリーンセンター,月 木,水,水,水:2
日吉,宮津与謝クリーンセンター,月 木,水,水,水:2
杉末,宮津与謝クリーンセンター,月 木,水,水,水:2
百合が丘,宮津与謝クリーンセンター,月 木,火,火,水:3
福田,宮津与謝クリーンセンター,月 木,火,火,水:3
宮村上,宮津与謝クリーンセンター,月 木,火,火,木:1
惣,宮津与謝クリーンセンター,月 木,火,火,水:4
西波路,宮津与謝クリーンセンター,月 木,金,金,水:4
波路町,宮津与謝クリーンセンター,月 木,金,金,水:4
波路,宮津与謝クリーンセンター,月 木,金,金,水:4
東波路,宮津与謝クリーンセンター,月 木,金,金,水:4
獅子崎,宮津与謝クリーンセンター,月 木,金,金,水:4
つつじが丘,宮津与謝クリーンセンター,月 木,金,金,水:4
問屋町,宮津与謝クリーンセンター,月 木,金,木,水:4
上宮津(小田1、２区を除く),宮津与謝クリーンセンター,月 木,火,火,木:1
栗田,宮津与謝クリーンセンター,月 木,金,金,木:2
文珠,宮津与謝クリーンセンター,月 木,木,木,木:1
府中,宮津与謝クリーンセンター,月 木,水,水,木:3
畠,宮津与謝クリーンセンター,"月:1,3","月:1,3","月:1,3",木:3
宮本,宮津与謝クリーンセンター,火 金,木,木,水:1
京街道,宮津与謝クリーンセンター,火 金,木,木,水:1
大久保,宮津与謝クリーンセンター,火 金,木,木,水:1
柳縄手,宮津与謝クリーンセンター,火 金,木,木,水:1
鶴賀,宮津与謝クリーンセンター,火 金,水,水,水:3
城内,宮津与謝クリーンセンター,火 金,水,水,水:3
城東(駅裏),宮津与謝クリーンセンター,火 金,火,火,水:3
城東(駅前),宮津与謝クリーンセンター,火 金,水,水,水:3
城南,宮津与謝クリーンセンター,火 金,木,木,水:3
滝馬,宮津与謝クリーンセンター,火 金,木,木,水:3
宮村,宮津与謝クリーンセンター,火 金,木,木,水:4
辻町,宮津与謝クリーンセンター,火 金,火,火,水:4
旭が丘,宮津与謝クリーンセンター,火 金,火,火,水:4
第２旭が丘,宮津与謝クリーンセンター,火 金,火,火,水:4
東国名賀,宮津与謝クリーンセンター,火 金,火,火,水:4
皆原,宮津与謝クリーンセンター,火 金,火,火,水:4
山中,宮津与謝クリーンセンター,火 金,火,火,水:4
"小田1, ２区",宮津与謝クリーンセンター,"火:2,4","火:2,4","火:2,4",木:1
グンゼ,宮津与謝クリーンセンター,火 金,火,火,水:4
由良,宮津与謝クリーンセンター,火 金,水,水,木:2
吉津(文珠を除く),宮津与謝クリーンセンター,火 金,木,木,木:1
日置,宮津与謝クリーンセンター,火 金,月,月,木:3
養老,宮津与謝クリーンセンター,火 金,月,月,木:4
日ヶ谷,宮津与謝クリーンセンター,火 金,月,月,木:4
下世屋,宮津与謝クリーンセンター,火 金,第１、3月,第１、3月,木:3
上世屋,宮津与謝クリーンセンター,"火:1,3","月:1,3","月:1,3",木:3
木子,宮津与謝クリーンセンター,"火:1,3","月:1,3","月:1,3",木:3
