label,sublabel,description,styles,bgcolor
燃やすごみ（ステーション回収）,,,,#f5deb3
燃やさないごみ（ステーション回収）,,,,#f5deb3
プラマーク製品（ステーション回収）,,,,#f5deb3
ペットボトル（ステーション回収）,,,,#f5deb3
紙パック（ステーション回収）,,,,#f5deb3
缶類（ステーション回収）,,,,#f5deb3
びん（ステーション回収）,,,,#f5deb3
大型有料ごみ（戸別回収）,,,,#f5deb3
乾電池（ステーション回収）,,,,#f5deb3
スプレー缶（ステーション回収）,,,,#f5deb3
ライター（ステーション回収）,,,,#f5deb3
廃蛍光管（ステーション回収）,,,,#f5deb3
小型充電式電池（拠点回収）,,,,#f5deb3
廃食用油（拠点回収）,,,,#f5deb3
家電リサイクル（自己搬入・業者回収・戸別回収）,,,,#f5deb3
使用済小型家電（拠点回収・ステーション回収）,,,,#f5deb3
使用済小型家電（拠点回収）,,,,#f5deb3
収集できないもの・収集しないもの,,,,#f5deb3
